name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,7546355316.089437
Artificial Superintelligence Alliance,fet,fetch-ai,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,5403196895.247647
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,3237497203.6980896
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3228887853.770272
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2835397442.702325
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2536733108.7749505
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2265234858.5817614
Ondo,ondo,ondo-finance,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,1798035959.3784833
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1541362100.8313167
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,1414520301.8093767
