name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5460491896.944331
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3232338740.173016
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2523409157.3792605
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1947562341.16612
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1793774189.5285697
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1649490691.6724217
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1406110488.3665593
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1363291369.6560078
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1302977132.305266
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1024839640.9642797
