name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,8532860737.090478
Artificial Superintelligence Alliance,fet,fetch-ai,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,5786697029.97542
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3644985896.004789
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,3308461570.823087
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,3113509080.5670767
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2590228289.8214164
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2170183249.754658
Ondo,ondo,ondo-finance,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,1792485911.7535565
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1560103979.6391933
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,1399575001.900868
