name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4125723194.4009376
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1786808029.8217146
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,1438625926.204232
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1223089488.304903
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1017790595.3682938
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,999899384.2351556
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,949285355.1103792
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,920896220.6266452
Rocket Pool,rpl,rocket-pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,903378071.16723
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,773165222.1244631
